file_name,yolo_model_confidence,yolo_class_id,yolo_xy_coords,ocr_bbox,ocr_bbox_norm,ocr_confidence,ocr_label,ocr_text,ocr_region,ocr_region_confidence,vehicle,no vehicle,car,bus,truck,motorcycle,only license plate
lp_train_011,0.827838480472565,0,"[346.7925720214844, 436.63330078125, 546.1931762695312, 506.305908203125]","[349, 434, 544, 513]","[0.3408203125, 0.6372980910425844, 0.53125, 0.7533039647577092]","[0.9999926090240479, 0.9999927282333374, 0.9999842643737793, 0.9999885559082031, 0.9999634027481079, 0.9985998272895813, 0.9999867677688599, 0.9999980926513672, 0.999998927116394, 0.9999990463256836]",License Plate,BM107,Latvia,0.999993205070496,{'score': 0.3075542151927948},{'score': 0.05208323523402214},{'score': 0.15982353687286377},{'score': 0.003104755189269781},{'score': 0.2200012505054474},{'score': 0.0014054789207875729},{'score': 0.2560274302959442}
lp_train_012,0.347831726074219,0,"[154.20738220214844, 357.849365234375, 201.12893676757812, 374.2808532714844]","[156, 358, 203, 377]","[0.15234375, 0.6226086956521739, 0.1982421875, 0.6556521739130434]","[0.987625777721405, 0.999535322189331, 0.9218508005142212, 0.9989882111549377, 0.999903678894043, 0.9998008608818054, 0.999870777130127, 0.999995231628418, 0.9999979734420776, 0.9999985694885254]",License Plate,W668HKU,United Kingdom,0.999999403953552,{'score': 0.14893792569637299},{'score': 0.47857439517974854},{'score': 0.025578537955880165},{'score': 0.05657500401139259},{'score': 0.28461065888404846},{'score': 0.0028765564784407616},{'score': 0.002846961375325918}
lp_train_013,0.846883237361908,0,"[363.5417785644531, 333.546875, 711.02294921875, 504.92529296875]","[378, 339, 706, 487]","[0.369140625, 0.44140625, 0.689453125, 0.6341145833333334]","[0.9994789958000183, 0.9997790455818176, 0.999942421913147, 0.9998028874397278, 0.9999146461486816, 0.9990944862365723, 0.9997405409812927, 0.9999891519546509, 0.9999963045120239, 0.9999970197677612]",License Plate,569220,United States,0.999945759773254,{'score': 0.042708080261945724},{'score': 0.002629601862281561},{'score': 0.04369644448161125},{'score': 0.004480138886719942},{'score': 0.01703410968184471},{'score': 0.002571834484115243},{'score': 0.8868798613548279}
lp_train_014,0.70066374540329,0,"[851.6423950195312, 681.34814453125, 897.8630981445312, 697.5077514648438]","[5, 670, 51, 689]","[0.0048828125, 0.8535031847133758, 0.0498046875, 0.8777070063694268]","[0.9792786836624146, 0.9762869477272034, 0.9928050637245178, 0.9888349175453186, 0.994857907295227, 0.9796797633171082, 0.9990299940109253, 0.9996747970581055, 0.9997817873954773, 0.9998561143875122]",License Plate,63PWX,United Kingdom,0.954047024250031,{'score': 0.012608830817043781},{'score': 0.012647079303860664},{'score': 0.0012080633314326406},{'score': 0.9716264605522156},{'score': 0.0018319821683689952},{'score': 4.4626383896684274e-05},{'score': 3.3128362701972947e-05}
lp_train_015,0.842597365379334,0,"[623.5404052734375, 382.91796875, 778.4600830078125, 472.1451110839844]","[631, 386, 766, 467]","[0.6162109375, 0.5026041666666666, 0.748046875, 0.6080729166666666]","[0.9999754428863525, 0.9999828338623047, 0.9999816417694092, 0.9999653100967407, 0.9999629259109497, 0.9998212456703186, 0.9999954700469971, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104]",License Plate,AJN870,Australia,0.957814991474152,{'score': 0.38095787167549133},{'score': 0.014619730412960052},{'score': 0.06261170655488968},{'score': 0.48953670263290405},{'score': 0.04181768000125885},{'score': 0.0008187683415599167},{'score': 0.00963763240724802}
lp_train_016,,,,"[938, 376, 969, 438]","[0.916015625, 0.5505124450951684, 0.9462890625, 0.6412884333821376]","[0.9856530427932739, 0.9814192056655884, 0.9710938930511475, 0.9690573215484619, 0.9766215682029724, 0.98618084192276, 0.9902428984642029, 0.9936110377311707, 0.9970658421516418, 0.996975302696228]",License Plate,,Unknown,0.993823647499085,{'score': 0.3409471809864044},{'score': 0.010035942308604717},{'score': 0.6400629281997681},{'score': 0.00012389365292619914},{'score': 0.004152440000325441},{'score': 0.0008405643748119473},{'score': 0.0038369963876903057}
lp_train_017,0.413675934076309,0,"[0.0, 251.22860717773438, 70.71014404296875, 428.8330078125]","[0, 263, 74, 427]","[0.0, 0.3850658857979502, 0.072265625, 0.6251830161054173]","[0.9999890327453613, 0.9999921321868896, 0.9999915361404419, 0.9999891519546509, 0.9999896287918091, 0.9999895095825195, 0.9999914169311523, 0.9999948740005493, 0.9999963045120239, 0.9999970197677612]",License Plate,,Unknown,0.999927043914795,{'score': 0.14976514875888824},{'score': 0.0023069470189511776},{'score': 0.5074487924575806},{'score': 0.0026317283045500517},{'score': 0.24030792713165283},{'score': 0.0030814888887107372},{'score': 0.09445786476135254}
lp_train_018,0.358854472637177,0,"[146.91603088378906, 488.3692321777344, 178.708984375, 504.31890869140625]","[352, 523, 401, 545]","[0.34375, 0.7657393850658858, 0.3916015625, 0.7979502196193266]","[0.9998569488525391, 0.9997829794883728, 0.999889612197876, 0.9993742108345032, 0.9994226694107056, 0.9988561868667603, 0.9882978796958923, 0.9999852180480957, 0.9999948740005493, 0.9999959468841553]",License Plate,Y869GCD,United Kingdom,0.99999988079071,{'score': 0.013981749303638935},{'score': 0.01672576181590557},{'score': 0.0010563277173787355},{'score': 0.9665231108665466},{'score': 0.001562110148370266},{'score': 3.2826072128955275e-05},{'score': 0.00011801590153481811}
lp_train_019,0.341027855873108,0,"[461.21575927734375, 593.9656982421875, 683.0551147460938, 645.96044921875]","[458, 596, 678, 644]","[0.447265625, 0.7760416666666666, 0.662109375, 0.8385416666666666]","[0.9511813521385193, 0.9996034502983093, 0.9999222755432129, 0.9993963241577148, 0.9995630383491516, 0.9998705387115479, 0.9988493919372559, 0.999901533126831, 0.9999865293502808, 0.9999874830245972]",License Plate,D209EYW,United Kingdom,0.999995231628418,{'score': 0.12218979001045227},{'score': 0.0027916247490793467},{'score': 0.8032855987548828},{'score': 0.00777386175468564},{'score': 0.0016960083739832044},{'score': 0.005310553126037121},{'score': 0.05695265159010887}
lp_train_020,0.496189534664154,0,"[630.0242309570312, 285.5105895996094, 707.4546508789062, 348.43902587890625]","[634, 285, 714, 347]","[0.619140625, 0.41911764705882354, 0.697265625, 0.5102941176470588]","[0.7487159371376038, 0.6402221322059631, 0.33014586567878723, 0.9919586181640625, 0.9765755534172058, 0.9830422401428223, 0.9702286124229431, 0.9865635633468628, 0.9998990297317505, 0.9999878406524658]",License Plate,CTI5671,United States,0.735606253147125,{'score': 0.4148700535297394},{'score': 0.22903303802013397},{'score': 0.0427393913269043},{'score': 0.11326739937067032},{'score': 0.015134976245462894},{'score': 0.17750601470470428},{'score': 0.007449096068739891}
lp_train_021,0.850573897361755,0,"[540.4210205078125, 520.5836791992188, 693.9292602539062, 609.1483154296875]","[544, 524, 689, 602]","[0.53125, 0.7728613569321534, 0.6728515625, 0.887905604719764]","[0.2368491142988205, 0.27228036522865295, 0.4232807159423828, 0.4682766795158386, 0.48450392484664917, 0.9066147208213806, 0.9744538068771362, 0.9994882345199585, 0.9996914863586426, 0.9999505281448364]",License Plate,853,Qatar,0.513931512832642,{'score': 0.0867106169462204},{'score': 0.01816881075501442},{'score': 0.8680747151374817},{'score': 0.0007284690509550273},{'score': 0.008571017533540726},{'score': 0.0015123176854103804},{'score': 0.01623397134244442}
lp_train_022,0.828565537929535,0,"[353.4473571777344, 505.16357421875, 530.6022338867188, 572.408203125]","[351, 507, 525, 566]","[0.45703125, 0.4951171875, 0.68359375, 0.552734375]","[0.9917409420013428, 0.9998315572738647, 0.999970555305481, 0.9999622106552124, 0.9998964071273804, 0.9999023675918579, 0.9999781847000122, 0.9999997615814209, 0.9999997615814209, 0.9999998807907104]",License Plate,KP52HH,Netherlands,0.99999988079071,{'score': 0.3597542941570282},{'score': 0.1586129367351532},{'score': 0.26413726806640625},{'score': 0.000787092954851687},{'score': 0.011088241823017597},{'score': 0.000934958050493151},{'score': 0.2046852856874466}
lp_train_023,0.787528872489929,0,"[693.0450439453125, 522.8302612304688, 796.84423828125, 593.3634033203125]","[697, 522, 791, 588]","[0.6806640625, 0.6796875, 0.7724609375, 0.765625]","[0.9999600648880005, 0.998400866985321, 0.9982185959815979, 0.9999256134033203, 0.999855637550354, 0.9998161196708679, 0.9999865293502808, 0.9999980926513672, 0.9999991655349731, 0.9999990463256836]",License Plate,AFQ15R,Australia,0.967780709266663,{'score': 0.5763315558433533},{'score': 0.014557073824107647},{'score': 0.09271594136953354},{'score': 0.0006298334337770939},{'score': 0.31422340869903564},{'score': 0.0003200441715307534},{'score': 0.001222188351675868}
lp_train_024,0.818762004375458,0,"[535.5953369140625, 582.1142578125, 598.7474365234375, 627.8841552734375]","[536, 585, 595, 623]","[0.5234375, 0.76171875, 0.5810546875, 0.8111979166666666]","[0.9983263611793518, 0.9982945322990417, 0.9987624883651733, 0.9799968004226685, 0.9996010661125183, 0.9995369911193848, 0.9996858835220337, 0.9998780488967896, 0.9999788999557495, 0.9999924898147583]",License Plate,5GCT696,United States,0.999696016311646,{'score': 0.2503148317337036},{'score': 0.5350260138511658},{'score': 0.1716434210538864},{'score': 0.010330328717827797},{'score': 0.019265977665781975},{'score': 0.006120376754552126},{'score': 0.007298968266695738}
lp_train_025,0.419433087110519,0,"[432.17559814453125, 489.9285583496094, 513.6950073242188, 514.3552856445312]","[438, 492, 516, 515]","[0.427734375, 0.7454545454545455, 0.50390625, 0.7803030303030303]","[0.999887228012085, 0.9989926218986511, 0.999944806098938, 0.9997901320457458, 0.9994534850120544, 0.9998266100883484, 0.9965409636497498, 0.9999109506607056, 0.9999608993530273, 0.9999639987945557]",License Plate,72BE11,Netherlands,0.998456597328186,{'score': 0.8211610317230225},{'score': 0.025955190882086754},{'score': 0.020995914936065674},{'score': 0.05960429832339287},{'score': 0.07061249017715454},{'score': 0.001220136065967381},{'score': 0.00045108841732144356}
lp_train_026,0.741374135017395,0,"[438.67535400390625, 308.69891357421875, 578.0493774414062, 362.1372985839844]","[437, 308, 580, 366]","[0.4267578125, 0.45095168374816985, 0.56640625, 0.5358711566617862]","[0.9991188645362854, 0.9983429908752441, 0.9990308284759521, 0.9786536693572998, 0.9937050938606262, 0.9989367127418518, 0.9246767163276672, 0.9994944334030151, 0.999915361404419, 0.9998552799224854]",License Plate,E11022,Denmark,0.634953737258911,{'score': 0.22875738143920898},{'score': 0.038684919476509094},{'score': 0.025723058730363846},{'score': 0.6227290630340576},{'score': 0.06619373708963394},{'score': 0.0031949833501130342},{'score': 0.01471689622849226}
lp_train_027,0.820853233337402,0,"[620.0997924804688, 538.2765502929688, 728.2417602539062, 603.690673828125]","[621, 536, 727, 606]","[0.6064453125, 0.7847730600292826, 0.7099609375, 0.8872620790629575]","[0.9999502897262573, 0.9998867511749268, 0.9995567202568054, 0.9997535347938538, 0.999893307685852, 0.9997994303703308, 0.9997687935829163, 0.9999957084655762, 0.9999991655349731, 0.9999996423721313]",License Plate,WLZ8436,Malaysia,0.523943185806274,{'score': 0.3205406069755554},{'score': 0.009899093769490719},{'score': 0.6283689737319946},{'score': 0.0005716164014302194},{'score': 0.01139378733932972},{'score': 0.0008377101621590555},{'score': 0.028388289734721184}
lp_train_028,0.381269633769989,0,"[351.87969970703125, 422.15301513671875, 381.29278564453125, 435.6971130371094]","[300, 410, 335, 426]","[0.29296875, 0.5967976710334789, 0.3271484375, 0.6200873362445415]","[0.728843092918396, 0.8115556836128235, 0.6326624155044556, 0.7189135551452637, 0.2663572430610657, 0.8077268600463867, 0.9639239311218262, 0.9994230270385742, 0.9997826218605042, 0.9998482465744019]",License Plate,WWF90,Malaysia,0.923357725143433,{'score': 0.4135987460613251},{'score': 0.2828066945075989},{'score': 0.2390071451663971},{'score': 0.0009485900518484414},{'score': 0.0021075033582746983},{'score': 0.0007515093893744051},{'score': 0.06077979877591133}
lp_train_029,0.664186179637909,0,"[693.74169921875, 423.93646240234375, 780.8924560546875, 470.2518615722656]","[694, 428, 779, 467]","[0.677734375, 0.6275659824046921, 0.7607421875, 0.6847507331378299]","[0.9999572038650513, 0.9997552037239075, 0.999809205532074, 0.9999191761016846, 0.9999356269836426, 0.996171772480011, 0.9999109506607056, 0.9999790191650391, 0.9999923706054688, 0.9999934434890747]",License Plate,AHB69B,United Kingdom,0.988425612449646,{'score': 0.3170738220214844},{'score': 0.03733796626329422},{'score': 0.13528676331043243},{'score': 0.42025893926620483},{'score': 0.08585762977600098},{'score': 0.003577916417270899},{'score': 0.0006069116061553359}
lp_train_030,0.526434779167175,0,"[4.56927490234375, 730.1966552734375, 111.13349914550781, 824.7364501953125]","[0, 743, 93, 823]","[0.0, 0.7255859375, 0.121251629726206, 0.8037109375]","[0.5739372968673706, 0.8534218668937683, 0.8256803154945374, 0.8256568312644958, 0.8767488598823547, 0.9251466393470764, 0.9485821723937988, 0.9694403409957886, 0.9891775250434875, 0.9937028288841248]",License Plate,,Unknown,0.791711509227753,{'score': 0.6158893704414368},{'score': 0.045477211475372314},{'score': 0.06629756093025208},{'score': 0.21405930817127228},{'score': 0.05624508857727051},{'score': 0.0011930556502193213},{'score': 0.0008383442182093859}
lp_train_031,0.718570291996002,0,"[455.58563232421875, 448.89276123046875, 590.3421630859375, 489.9117126464844]","[457, 451, 587, 485]","[0.4462890625, 0.6603221083455344, 0.5732421875, 0.7101024890190337]","[0.9999536275863647, 0.9998667240142822, 0.9998643398284912, 0.9999758005142212, 0.9999840259552002, 0.9998970031738281, 0.9999953508377075, 0.9999982118606567, 0.9999984502792358, 0.999998927116394]",License Plate,COP159,Australia,0.994490027427673,{'score': 0.5076144337654114},{'score': 0.07626021653413773},{'score': 0.3637526333332062},{'score': 0.004844600334763527},{'score': 0.030564846470952034},{'score': 0.0012480205623432994},{'score': 0.015715287998318672}
lp_train_032,0.369949251413345,0,"[522.1192016601562, 455.444091796875, 563.2203979492188, 483.73883056640625]","[521, 457, 567, 482]","[0.5087890625, 0.6691068814055637, 0.5537109375, 0.705710102489019]","[0.9988724589347839, 0.9992139339447021, 0.9998440742492676, 0.9997137188911438, 0.9999227523803711, 0.9999774694442749, 0.9999872446060181, 0.999998927116394, 0.9999996423721313, 0.9999994039535522]",License Plate,NU52RGY,United Kingdom,0.999998092651367,{'score': 0.3733587861061096},{'score': 0.17625358700752258},{'score': 0.0340554304420948},{'score': 0.06114989519119263},{'score': 0.34297680854797363},{'score': 0.0054196547716856},{'score': 0.006785825826227665}
lp_train_033,0.806415498256683,0,"[775.901611328125, 580.2741088867188, 842.1306762695312, 599.9876708984375]","[776, 579, 842, 600]","[0.7578125, 0.8477306002928258, 0.822265625, 0.8784773060029283]","[0.9999871253967285, 0.9997003078460693, 0.9999295473098755, 0.9995152950286865, 0.9972231388092041, 0.999002993106842, 0.9997038245201111, 0.9995182752609253, 0.999992847442627, 0.9999959468841553]",License Plate,SBS9687K,Singapore,0.999421834945679,{'score': 0.0069814338348805904},{'score': 0.0027913074009120464},{'score': 0.000490943668410182},{'score': 0.9887205958366394},{'score': 0.0008924924186430871},{'score': 3.4205979318358004e-05},{'score': 8.912570046959445e-05}
lp_train_034,0.329257130622864,0,"[941.9049072265625, 508.1559143066406, 979.8551025390625, 549.7373046875]",NA,NA,NA,NA,NA,NA,NA,{'score': 0.45875275135040283},{'score': 0.2852766811847687},{'score': 0.027352118864655495},{'score': 0.06821716576814651},{'score': 0.15437737107276917},{'score': 0.004416205920279026},{'score': 0.0016076560132205486}
lp_train_035,,,,NA,NA,NA,NA,NA,NA,NA,{'score': 0.39353832602500916},{'score': 0.03167087212204933},{'score': 0.06340305507183075},{'score': 0.3881493806838989},{'score': 0.11771263927221298},{'score': 0.0017876789206638932},{'score': 0.00373794324696064}
lp_train_036,0.785050749778748,0,"[106.80804443359375, 597.3760986328125, 399.4632873535156, 670.1229248046875]","[111, 597, 393, 669]","[0.1083984375, 0.8740849194729137, 0.3837890625, 0.9795021961932651]","[0.9999411106109619, 0.999923825263977, 0.9999749660491943, 0.9996651411056519, 0.9999891519546509, 0.9999581575393677, 0.9999570846557617, 0.9999903440475464, 0.9999977350234985, 0.9999978542327881]",License Plate,R275ULO,United Kingdom,1,{'score': 0.17325398325920105},{'score': 0.0208955779671669},{'score': 0.7660773992538452},{'score': 0.0010577670764178038},{'score': 0.011465917341411114},{'score': 0.01229646522551775},{'score': 0.014952891506254673}
lp_train_037,0.83390200138092,0,"[142.47738647460938, 301.351806640625, 301.46337890625, 362.9546813964844]","[144, 302, 298, 361]","[0.140625, 0.471875, 0.291015625, 0.5640625]","[0.9975672960281372, 0.5753355026245117, 0.6009095311164856, 0.7635083794593811, 0.4710202217102051, 0.8507328629493713, 0.8533174395561218, 0.9534750580787659, 0.9970507621765137, 0.9967660903930664]",License Plate,AU011A1,Unknown,0.697333931922913,{'score': 0.2299242466688156},{'score': 0.05831163376569748},{'score': 0.6853359341621399},{'score': 0.0006767577142454684},{'score': 0.002780329901725054},{'score': 0.0008401721133850515},{'score': 0.022130828350782394}
lp_train_038,,,,NA,NA,NA,NA,NA,NA,NA,{'score': 0.09583928436040878},{'score': 0.030468452721834183},{'score': 0.03584436699748039},{'score': 0.017236344516277313},{'score': 0.8192742466926575},{'score': 0.0009315826464444399},{'score': 0.00040572663419879973}
lp_train_039,0.562788665294647,0,"[551.5595703125, 364.41693115234375, 589.2595825195312, 380.72259521484375]","[547, 364, 594, 381]","[0.5341796875, 0.4739583333333333, 0.580078125, 0.49609375]","[0.8976885676383972, 0.9472144842147827, 0.8705601692199707, 0.7105828523635864, 0.7798265814781189, 0.8238202333450317, 0.9265742301940918, 0.9909951090812683, 0.9964663982391357, 0.99467933177948]",License Plate,,Unknown,0.871078252792358,{'score': 0.05508006364107132},{'score': 0.84451824426651},{'score': 0.016169635578989983},{'score': 0.0008319569169543684},{'score': 0.005033503286540508},{'score': 0.000517329084686935},{'score': 0.07784931361675262}
lp_train_040,0.293697446584702,0,"[0.0, 324.8558044433594, 55.3029899597168, 349.52685546875]","[368, 542, 652, 604]","[0.359375, 0.7475862068965518, 0.63671875, 0.833103448275862]","[0.9999709129333496, 0.994897186756134, 0.9996415376663208, 0.999845027923584, 0.9997636675834656, 0.9983614087104797, 0.9997833371162415, 0.9999440908432007, 0.9999905824661255, 0.999993085861206]",License Plate,SWJ818L,Singapore,0.561394989490509,{'score': 0.14257822930812836},{'score': 0.01047908142209053},{'score': 0.8057741522789001},{'score': 0.0025896860752254725},{'score': 0.004834646824747324},{'score': 0.0022008877713233232},{'score': 0.03154318034648895}
lp_train_041,,,,NA,NA,NA,NA,NA,NA,NA,{'score': 0.27229198813438416},{'score': 0.06012894585728645},{'score': 0.007761264685541391},{'score': 0.6432173252105713},{'score': 0.016434138640761375},{'score': 0.00013423709606286138},{'score': 3.2046311389422044e-05}
lp_train_042,,,,NA,NA,NA,NA,NA,NA,NA,{'score': 0.11243519932031631},{'score': 0.7542227506637573},{'score': 0.060290563851594925},{'score': 0.00504990154877305},{'score': 0.007809827104210854},{'score': 0.0021397355012595654},{'score': 0.05805202201008797}
lp_train_043,,,,NA,NA,NA,NA,NA,NA,NA,{'score': 0.09762826561927795},{'score': 0.0068960185162723064},{'score': 0.0064291078597307205},{'score': 0.0010332990204915404},{'score': 0.008702349849045277},{'score': 0.8775765895843506},{'score': 0.001734382240101695}
lp_train_044,0.666833162307739,0,"[939.5369873046875, 297.26434326171875, 1024.0, 367.2229919433594]","[258, 287, 337, 336]","[0.251953125, 0.41897810218978104, 0.3291015625, 0.4905109489051095]","[0.2919202446937561, 0.21588532626628876, 0.40473371744155884, 0.8145042061805725, 0.2402087152004242, 0.500407338142395, 0.7021326422691345, 0.9850482940673828, 0.9994218349456787, 0.9994094371795654]",License Plate,JAVN_E,United States,0.986175954341888,{'score': 0.15377992391586304},{'score': 0.020950090140104294},{'score': 0.5447273850440979},{'score': 0.0007775911362841725},{'score': 0.03231965750455856},{'score': 0.003955469466745853},{'score': 0.24348987638950348}
lp_train_045,0.767607152462006,0,"[617.295654296875, 643.8479614257812, 694.6016845703125, 689.7456665039062]","[617, 647, 697, 686]","[0.8033854166666666, 0.6318359375, 0.9075520833333334, 0.669921875]","[0.9876009225845337, 0.9944671392440796, 0.9948614239692688, 0.9970837235450745, 0.9874496459960938, 0.3693658709526062, 0.3202175199985504, 0.8441299200057983, 0.9842981100082397, 0.986665666103363]",License Plate,521328B,United States,0.983748078346252,{'score': 0.24598592519760132},{'score': 0.19618479907512665},{'score': 0.05596931651234627},{'score': 0.010415613651275635},{'score': 0.008237182162702084},{'score': 0.4447743594646454},{'score': 0.03843279182910919}
lp_train_046,0.512402892112732,0,"[907.7520751953125, 579.2060546875, 986.53662109375, 612.8484497070312]","[908, 581, 984, 611]","[0.88671875, 0.7565104166666666, 0.9609375, 0.7955729166666666]","[0.9999154806137085, 0.9995232820510864, 0.9999470710754395, 0.9997699856758118, 0.9998955726623535, 0.9997984766960144, 0.9999130964279175, 0.9999977350234985, 0.9999991655349731, 0.9999995231628418]",License Plate,Y303LET,United Kingdom,0.999998211860657,{'score': 0.06616286188364029},{'score': 0.7623310089111328},{'score': 0.16274084150791168},{'score': 0.001683687325567007},{'score': 0.0032056435011327267},{'score': 0.001260249293409288},{'score': 0.002615706529468298}
