,bbox,bbox_norm,confidence,label,text,region,region_confidence,file_name
12,"[0, 188, 4, 73]","[0.0, 0.9947089947089947, 0.04938271604938271, 0.9012345679012346]","[0.9999873638153076, 0.9999904632568359, 0.9999784231185913, 0.999987006187439, 0.9999547004699707, 0.9989942908287048, 0.9999889135360718, 0.9999973773956299, 0.9999978542327881, 0.999997615814209]",License Plate,BM107,Latvia,0.9999816417694092,lp_train_011
13,"[1, 46, 1, 18]","[0.02127659574468085, 0.9787234042553191, 0.05263157894736842, 0.9473684210526315]","[0.8714277744293213, 0.9995859265327454, 0.6864824295043945, 0.9990376234054565, 0.9997561573982239, 0.9996682405471802, 0.9996405839920044, 0.999987006187439, 0.9999951124191284, 0.9999959468841553]",License Plate,W668HKU,United Kingdom,0.9999986886978149,lp_train_012
14,"[0, 336, 0, 148]","[0.0, 0.9970326409495549, 0.0, 0.9866666666666667]","[0.9996059536933899, 0.9997829794883728, 0.999956488609314, 0.9998738765716553, 0.9999158382415771, 0.9984573125839233, 0.999742329120636, 0.9999954700469971, 0.9999985694885254, 0.9999988079071045]",License Plate,569220,United States,0.9999682903289795,lp_train_013
15,NA,NA,NA,NA,NA,NA,NA,lp_train_014
16,NA,NA,NA,NA,NA,NA,NA,lp_train_014
17,"[1, 131, 9, 82]","[0.007633587786259542, 1.0, 0.10465116279069768, 0.9534883720930233]","[0.9999737739562988, 0.999980092048645, 0.9999686479568481, 0.999969482421875, 0.999932050704956, 0.999839186668396, 0.9999963045120239, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104]",License Plate,AJN870,Australia,0.810641348361969,lp_train_015
18,NA,NA,NA,NA,NA,NA,NA,lp_train_016
19,NA,NA,NA,NA,NA,NA,NA,lp_train_017
20,NA,NA,NA,NA,NA,NA,NA,lp_train_018
21,NA,NA,NA,NA,NA,NA,NA,lp_train_018
22,NA,NA,NA,NA,NA,NA,NA,lp_train_019
23,NA,NA,NA,NA,NA,NA,NA,lp_train_020
24,NA,NA,NA,NA,NA,NA,NA,lp_train_020
25,"[1, 145, 0, 74]","[0.00684931506849315, 0.9931506849315068, 0.0, 1.0]","[0.8115608096122742, 0.4302409887313843, 0.26593485474586487, 0.7101836800575256, 0.721358060836792, 0.9478800892829895, 0.992354154586792, 0.9999614953994751, 0.9999774694442749, 0.9999943971633911]",License Plate,51,Israel,0.2758462429046631,lp_train_021
26,"[8, 173, 7, 61]","[0.0449438202247191, 0.9719101123595506, 0.11475409836065574, 1.0]","[0.9814077019691467, 0.9997679591178894, 0.9999635219573975, 0.9999346733093262, 0.9998217225074768, 0.9998536109924316, 0.9999583959579468, 0.9999985694885254, 0.9999990463256836, 0.9999986886978149]",License Plate,KP52HH,Netherlands,0.9999967813491821,lp_train_022
27,NA,NA,NA,NA,NA,NA,NA,lp_train_023
28,NA,NA,NA,NA,NA,NA,NA,lp_train_024
29,NA,NA,NA,NA,NA,NA,NA,lp_train_024
30,NA,NA,NA,NA,NA,NA,NA,lp_train_025
31,NA,NA,NA,NA,NA,NA,NA,lp_train_026
32,NA,NA,NA,NA,NA,NA,NA,lp_train_027
33,NA,NA,NA,NA,NA,NA,NA,lp_train_028
34,NA,NA,NA,NA,NA,NA,NA,lp_train_029
35,NA,NA,NA,NA,NA,NA,NA,lp_train_030
36,NA,NA,NA,NA,NA,NA,NA,lp_train_031
37,NA,NA,NA,NA,NA,NA,NA,lp_train_032
38,NA,NA,NA,NA,NA,NA,NA,lp_train_033
39,NA,NA,NA,NA,NA,NA,NA,lp_train_034
40,NA,NA,NA,NA,NA,NA,NA,lp_train_035
41,"[0, 291, 0, 63]","[0.0, 0.9931740614334471, 0.0, 1.0]","[0.9998966455459595, 0.9999066591262817, 0.9999511241912842, 0.9995936751365662, 0.9999914169311523, 0.9999667406082153, 0.9999419450759888, 0.999992847442627, 0.9999983310699463, 0.9999983310699463]",License Plate,R275ULO,United Kingdom,1.0,lp_train_036
42,NA,NA,NA,NA,NA,NA,NA,lp_train_037
43,"[2, 147, 5, 50]","[0.013245033112582781, 0.9735099337748344, 0.08928571428571429, 0.8928571428571429]","[0.9998051524162292, 0.9925087094306946, 0.6251654028892517, 0.8218734860420227, 0.795074999332428, 0.6733686327934265, 0.9770872592926025, 0.9994156360626221, 0.999891996383667, 0.9999114274978638]",License Plate,AU81A1,Unknown,0.9979276657104492,lp_train_037
44,NA,NA,NA,NA,NA,NA,NA,lp_train_037
45,NA,NA,NA,NA,NA,NA,NA,lp_train_038
46,NA,NA,NA,NA,NA,NA,NA,lp_train_039
47,NA,NA,NA,NA,NA,NA,NA,lp_train_040
48,NA,NA,NA,NA,NA,NA,NA,lp_train_040
49,NA,NA,NA,NA,NA,NA,NA,lp_train_041
50,NA,NA,NA,NA,NA,NA,NA,lp_train_042
51,NA,NA,NA,NA,NA,NA,NA,lp_train_043
52,NA,NA,NA,NA,NA,NA,NA,lp_train_044
53,"[53, 75, 45, 52]","[0.6625, 0.9375, 0.8181818181818182, 0.9454545454545454]","[0.8349507451057434, 0.10588213801383972, 0.390796422958374, 0.15378424525260925, 0.7662144899368286, 0.9244973659515381, 0.9956302642822266, 0.9995688796043396, 0.9998078942298889, 0.9997128844261169]",License Plate,P1WW,Australia,0.20768335461616516,lp_train_044
54,NA,NA,NA,NA,NA,NA,NA,lp_train_045
55,NA,NA,NA,NA,NA,NA,NA,lp_train_046
56,NA,NA,NA,NA,NA,NA,NA,lp_train_047
57,NA,NA,NA,NA,NA,NA,NA,lp_train_048
58,"[1, 117, 0, 44]","[0.008403361344537815, 0.9831932773109243, 0.0, 0.9565217391304348]","[0.9999208450317383, 0.9999310970306396, 0.9999592304229736, 0.9992581009864807, 0.9999401569366455, 0.9999440908432007, 0.9999966621398926, 0.9999995231628418, 1.0, 1.0]",License Plate,DGS895,Germany,0.9999997615814209,lp_train_049
59,NA,NA,NA,NA,NA,NA,NA,lp_train_049
60,NA,NA,NA,NA,NA,NA,NA,lp_train_050
61,NA,NA,NA,NA,NA,NA,NA,lp_train_050
62,NA,NA,NA,NA,NA,NA,NA,lp_train_050
63,NA,NA,NA,NA,NA,NA,NA,lp_train_050
64,NA,NA,NA,NA,NA,NA,NA,lp_train_050
65,NA,NA,NA,NA,NA,NA,NA,lp_train_050
66,NA,NA,NA,NA,NA,NA,NA,lp_train_051
67,NA,NA,NA,NA,NA,NA,NA,lp_train_051
68,NA,NA,NA,NA,NA,NA,NA,lp_train_051
69,NA,NA,NA,NA,NA,NA,NA,lp_train_051
70,"[1, 107, 0, 33]","[0.009259259259259259, 0.9907407407407407, 0.0, 1.0]","[0.9998775720596313, 0.9999583959579468, 0.9999481439590454, 0.9999903440475464, 0.9999281167984009, 0.9999860525131226, 0.9999958276748657, 0.9999997615814209, 0.9999998807907104, 0.9999997615814209]",License Plate,YJ89HJ,Netherlands,0.9999995231628418,lp_train_052
71,NA,NA,NA,NA,NA,NA,NA,lp_train_052
72,"[7, 632, 0, 318]","[0.011023622047244094, 0.9952755905511811, 0.0, 1.0]","[0.9999289512634277, 0.9999278783798218, 0.8787504434585571, 0.9987534284591675, 0.9992985725402832, 0.9995676875114441, 0.9993841648101807, 0.9999831914901733, 0.9999957084655762, 0.9999972581863403]",License Plate,GRIMPG,United States,0.9997555613517761,lp_train_053
73,NA,NA,NA,NA,NA,NA,NA,lp_train_054
74,NA,NA,NA,NA,NA,NA,NA,lp_train_054
75,"[1, 75, 0, 24]","[0.013157894736842105, 0.9868421052631579, 0.0, 1.0]","[0.9998934268951416, 0.9986541271209717, 0.9997772574424744, 0.999809205532074, 0.9998821020126343, 0.999839186668396, 0.9997970461845398, 0.9999929666519165, 0.9999959468841553, 0.9999977350234985]",License Plate,JIL8091,Brazil,0.999985933303833,lp_train_055
76,"[1, 58, 1, 23]","[0.01694915254237288, 0.9830508474576272, 0.043478260869565216, 1.0]","[0.9999196529388428, 0.9988833069801331, 0.9996926784515381, 0.9997946619987488, 0.9999125003814697, 0.9998550415039062, 0.9991381168365479, 0.999993085861206, 0.9999966621398926, 0.9999974966049194]",License Plate,JIL8061,Brazil,0.9999951124191284,lp_train_055
77,"[0, 42, 0, 18]","[0.0, 0.9767441860465116, 0.0, 0.9473684210526315]","[0.9994118213653564, 0.9866448044776917, 0.9988934397697449, 0.9879988431930542, 0.9996684789657593, 0.9996321201324463, 0.6221123933792114, 0.9999586343765259, 0.9999840259552002, 0.9999915361404419]",License Plate,JIL8011,Brazil,0.8677976727485657,lp_train_055
78,NA,NA,NA,NA,NA,NA,NA,lp_train_055
79,NA,NA,NA,NA,NA,NA,NA,lp_train_056
80,NA,NA,NA,NA,NA,NA,NA,lp_train_056
81,NA,NA,NA,NA,NA,NA,NA,lp_train_057
82,NA,NA,NA,NA,NA,NA,NA,lp_train_058
83,NA,NA,NA,NA,NA,NA,NA,lp_train_059
84,NA,NA,NA,NA,NA,NA,NA,lp_train_059
85,NA,NA,NA,NA,NA,NA,NA,lp_train_059
86,NA,NA,NA,NA,NA,NA,NA,lp_train_059
87,NA,NA,NA,NA,NA,NA,NA,lp_train_060
88,NA,NA,NA,NA,NA,NA,NA,lp_train_061
89,"[2, 90, 20, 76]","[0.022222222222222223, 1.0, 0.2564102564102564, 0.9743589743589743]","[0.1484396606683731, 0.968332827091217, 0.9986621141433716, 0.9984099864959717, 0.9996515512466431, 0.9996970891952515, 0.9991146922111511, 0.9999676942825317, 0.9999897480010986, 0.9999949932098389]",License Plate,SE05FLR,United Kingdom,0.997000515460968,lp_train_062
90,NA,NA,NA,NA,NA,NA,NA,lp_train_063
91,NA,NA,NA,NA,NA,NA,NA,lp_train_064
92,NA,NA,NA,NA,NA,NA,NA,lp_train_065
93,"[0, 316, 0, 87]","[0.0, 1.0, 0.0, 1.0]","[0.9998000264167786, 0.9999197721481323, 0.9998263716697693, 0.9998134970664978, 0.9999604225158691, 0.9996600151062012, 0.9903036952018738, 0.999502420425415, 0.9999970197677612, 0.9999986886978149]",License Plate,B735TH61,Italy,0.44246748089790344,lp_train_066
94,"[0, 137, 0, 74]","[0.0, 0.9716312056737588, 0.0, 1.0]","[0.9996094107627869, 0.9999336004257202, 0.9994909763336182, 0.9965588450431824, 0.8811505436897278, 0.9997524619102478, 0.9997043013572693, 0.9999186992645264, 0.9999731779098511, 0.9999853372573853]",License Plate,MAKEVAY,United States,0.9989400506019592,lp_train_067
95,"[0, 51, 3, 33]","[0.0, 1.0, 0.08571428571428572, 0.9428571428571428]","[0.965022623538971, 0.9991859793663025, 0.9999252557754517, 0.9996470212936401, 0.9987169504165649, 0.4623224437236786, 0.9964569211006165, 0.9992853999137878, 0.9998379945755005, 0.9998993873596191]",License Plate,MF11AMN,United Kingdom,0.9999929666519165,lp_train_068
96,"[2, 105, 4, 75]","[0.01818181818181818, 0.9545454545454546, 0.047619047619047616, 0.8928571428571429]","[0.13891267776489258, 0.9969107508659363, 0.999153733253479, 0.9997891783714294, 0.9998569488525391, 0.9975084066390991, 0.9994202852249146, 0.999972939491272, 0.9999914169311523, 0.9999942779541016]",License Plate,S890SFV,United Kingdom,0.9998224377632141,lp_train_068
97,NA,NA,NA,NA,NA,NA,NA,lp_train_069
98,"[33, 39, 67, 72]","[0.3707865168539326, 0.43820224719101125, 0.6979166666666666, 0.75]","[0.9962855577468872, 0.9975152015686035, 0.9963789582252502, 0.9972763657569885, 0.9968630075454712, 0.9969769716262817, 0.9963500499725342, 0.9982913136482239, 0.9989712238311768, 0.999264657497406]",License Plate,,Unknown,0.9979752898216248,lp_train_070
99,"[11, 95, 0, 56]","[0.10784313725490197, 0.9313725490196079, 0.0, 0.7887323943661971]","[0.9999676942825317, 0.9999802112579346, 0.9982327222824097, 0.9997633099555969, 0.9999721050262451, 0.999817430973053, 0.9999476671218872, 0.9999966621398926, 0.9999971389770508, 0.999997615814209]",License Plate,XLO790,Sweden,0.9999428987503052,lp_train_071
100,"[4, 318, 1, 154]","[0.012121212121212121, 0.9636363636363636, 0.00641025641025641, 0.9871794871794872]","[0.999858021736145, 0.9994606375694275, 0.9997895359992981, 0.9999815225601196, 0.9999567270278931, 0.9999864101409912, 0.9999954700469971, 0.999998927116394, 0.9999995231628418, 0.9999995231628418]",License Plate,JIBA,United States,0.9969629645347595,lp_train_072
101,NA,NA,NA,NA,NA,NA,NA,lp_train_073
102,"[0, 57, 0, 119]","[0.0, 1.0, 0.0, 0.9596774193548387]","[0.49831992387771606, 0.8207374215126038, 0.5224308371543884, 0.5787175297737122, 0.8775269985198975, 0.6061533093452454, 0.7613335847854614, 0.9997596144676208, 0.9999548196792603, 0.9999666213989258]",License Plate,O5200L,Spain,0.9864002466201782,lp_train_074
103,NA,NA,NA,NA,NA,NA,NA,lp_train_074
104,"[3, 7, 16, 20]","[0.0625, 0.14583333333333334, 0.5333333333333333, 0.6666666666666666]","[0.9451615214347839, 0.9690738916397095, 0.9666317105293274, 0.9456354379653931, 0.9398766756057739, 0.9364113807678223, 0.9571863412857056, 0.983770489692688, 0.9915977716445923, 0.9921625256538391]",License Plate,,Unknown,0.9997082352638245,lp_train_075
105,"[0, 114, 0, 40]","[0.0, 0.9827586206896551, 0.0, 1.0]","[0.999933123588562, 0.9999500513076782, 0.9995619654655457, 0.9995909333229065, 0.9998898506164551, 0.999769389629364, 0.9999068975448608, 0.9999970197677612, 0.9999990463256836, 0.9999992847442627]",License Plate,BJ53VWR,United Kingdom,0.999974250793457,lp_train_075
106,NA,NA,NA,NA,NA,NA,NA,lp_train_076
107,NA,NA,NA,NA,NA,NA,NA,lp_train_076
108,NA,NA,NA,NA,NA,NA,NA,lp_train_076
109,NA,NA,NA,NA,NA,NA,NA,lp_train_077
110,NA,NA,NA,NA,NA,NA,NA,lp_train_077
111,"[1, 64, 3, 21]","[0.015384615384615385, 0.9846153846153847, 0.13636363636363635, 0.9545454545454546]","[0.9986114501953125, 0.9997856020927429, 0.9999299049377441, 0.9998962879180908, 0.9998857975006104, 0.9997432827949524, 0.9999710321426392, 0.9999876022338867, 0.9999971389770508, 0.9999970197677612]",License Plate,SC04VFS,United Kingdom,0.9999998807907104,lp_train_078
112,NA,NA,NA,NA,NA,NA,NA,lp_train_078
113,NA,NA,NA,NA,NA,NA,NA,lp_train_078
114,"[0, 102, 2, 59]","[0.0, 1.0, 0.03333333333333333, 0.9833333333333333]","[0.9996887445449829, 0.9997082352638245, 0.9987001419067383, 0.9993062019348145, 0.9995183944702148, 0.9995463490486145, 0.9998294115066528, 0.9999834299087524, 0.9999873638153076, 0.9999923706054688]",License Plate,P4MSR,United Kingdom,0.999710738658905,lp_train_079
115,NA,NA,NA,NA,NA,NA,NA,lp_train_080
116,NA,NA,NA,NA,NA,NA,NA,lp_train_080
117,NA,NA,NA,NA,NA,NA,NA,lp_train_081
118,NA,NA,NA,NA,NA,NA,NA,lp_train_082
119,NA,NA,NA,NA,NA,NA,NA,lp_train_082
120,NA,NA,NA,NA,NA,NA,NA,lp_train_082
121,"[5, 119, 5, 50]","[0.04132231404958678, 0.9834710743801653, 0.1, 1.0]","[0.994520366191864, 0.9994951486587524, 0.9998908042907715, 0.9998792409896851, 0.9998977184295654, 0.9999431371688843, 0.9999794960021973, 0.9999990463256836, 0.9999995231628418, 0.9999997615814209]",License Plate,NSX764,Sweden,0.9998142123222351,lp_train_083
122,NA,NA,NA,NA,NA,NA,NA,lp_train_084
123,"[1, 72, 0, 21]","[0.013157894736842105, 0.9473684210526315, 0.0, 1.0]","[0.9999020099639893, 0.9999650716781616, 0.9999490976333618, 0.9991051554679871, 0.9999563694000244, 0.9996365308761597, 0.999981164932251, 0.9999876022338867, 0.9999954700469971, 0.9999954700469971]",License Plate,WA08LDL,United Kingdom,0.9999996423721313,lp_train_085
124,"[2, 110, 2, 33]","[0.017857142857142856, 0.9821428571428571, 0.05714285714285714, 0.9428571428571428]","[0.999954104423523, 0.999962568283081, 0.9999656677246094, 0.9999852180480957, 0.9998756647109985, 0.9995100498199463, 0.9998016953468323, 0.9999428987503052, 0.9999570846557617, 0.999977707862854]",License Plate,79DL628,Ireland,0.9978233575820923,lp_train_086
125,NA,NA,NA,NA,NA,NA,NA,lp_train_087
126,"[5, 144, 10, 104]","[0.03424657534246575, 0.9863013698630136, 0.09009009009009009, 0.9369369369369369]","[0.9916579127311707, 0.9996850490570068, 0.9996390342712402, 0.999691367149353, 0.9996060729026794, 0.9997652173042297, 0.9993512034416199, 0.9999682903289795, 0.999991774559021, 0.9999949932098389]",License Plate,1594DRM,Spain,0.9999468326568604,lp_train_088
127,"[0, 110, 0, 50]","[0.0, 0.9821428571428571, 0.0, 1.0]","[0.9972221851348877, 0.9998626708984375, 0.9996059536933899, 0.9992189407348633, 0.9998338222503662, 0.9991794228553772, 0.9988598823547363, 0.9999591112136841, 0.9999871253967285, 0.9999974966049194]",License Plate,19841SH,United States,0.9992764592170715,lp_train_089
128,NA,NA,NA,NA,NA,NA,NA,lp_train_090
129,"[0, 76, 15, 72]","[0.0, 0.95, 0.189873417721519, 0.9113924050632911]","[0.999815046787262, 0.9996942281723022, 0.9999783039093018, 0.9996050000190735, 0.9998929500579834, 0.9998306035995483, 0.999762237071991, 0.9999988079071045, 0.9999997615814209, 0.9999998807907104]",License Plate,5SJD283,United States,0.9999780654907227,lp_train_091
130,NA,NA,NA,NA,NA,NA,NA,lp_train_092
131,"[2, 86, 3, 51]","[0.022988505747126436, 0.9885057471264368, 0.057692307692307696, 0.9807692307692307]","[0.9999791383743286, 0.9999443292617798, 0.9586569666862488, 0.995699405670166, 0.880909264087677, 0.9998112320899963, 0.9999769926071167, 0.999998927116394, 0.9999995231628418, 0.9999995231628418]",License Plate,P2000D,United States,0.994761049747467,lp_train_093
132,"[0, 111, 0, 57]","[0.0, 0.9823008849557522, 0.0, 1.0]","[0.9996570348739624, 0.9894651174545288, 0.9969062209129333, 0.5828765034675598, 0.9293797016143799, 0.5027182698249817, 0.9886433482170105, 0.9999815225601196, 0.9999945163726807, 0.9999929666519165]",License Plate,F2533,United States,0.9259286522865295,lp_train_094
133,"[1, 87, 2, 37]","[0.011363636363636364, 0.9886363636363636, 0.047619047619047616, 0.8809523809523809]","[0.9443915486335754, 0.9998514652252197, 0.9998925924301147, 0.9999860525131226, 0.9998912811279297, 0.9999419450759888, 0.999984622001648, 0.9999998807907104, 0.9999998807907104, 0.9999998807907104]",License Plate,PWU977,Sweden,0.9999653100967407,lp_train_095
134,NA,NA,NA,NA,NA,NA,NA,lp_train_096
135,NA,NA,NA,NA,NA,NA,NA,lp_train_097
136,NA,NA,NA,NA,NA,NA,NA,lp_train_098
137,"[0, 155, 2, 55]","[0.0, 0.9935897435897436, 0.03636363636363636, 1.0]","[0.35446253418922424, 0.7620571255683899, 0.3275381624698639, 0.30739307403564453, 0.7766047716140747, 0.8759068250656128, 0.6414306163787842, 0.8394335508346558, 0.9796440601348877, 0.9977399110794067]",License Plate,11V18922,Ireland,0.3814137578010559,lp_train_099
138,NA,NA,NA,NA,NA,NA,NA,lp_train_100
139,"[3, 85, 1, 23]","[0.03409090909090909, 0.9659090909090909, 0.04, 0.92]","[0.9998306035995483, 0.9999231100082397, 0.9997325539588928, 0.9999297857284546, 0.9999053478240967, 0.9998421669006348, 0.999819815158844, 0.9998898506164551, 0.9999986886978149, 0.9999994039535522]",License Plate,51G51332,Vietnam,0.9999998807907104,lp_train_1000
140,"[2, 86, 3, 28]","[0.022727272727272728, 0.9772727272727273, 0.10714285714285714, 1.0]","[0.9938749670982361, 0.9998385906219482, 0.999995231628418, 0.9999467134475708, 0.9999417066574097, 0.9999583959579468, 0.9999440908432007, 0.9999449253082275, 0.9999967813491821, 0.9999990463256836]",License Plate,29A51796,Vietnam,1.0,lp_train_1001
141,"[1, 110, 1, 32]","[0.008547008547008548, 0.9401709401709402, 0.03125, 1.0]","[0.9999091625213623, 0.9999805688858032, 0.9999970197677612, 0.999934196472168, 0.9999432563781738, 0.9999465942382812, 0.9998013377189636, 0.9999539852142334, 0.9999922513961792, 0.9999970197677612]",License Plate,61A22959,Vietnam,1.0,lp_train_1002
142,"[3, 82, 3, 23]","[0.03529411764705882, 0.9647058823529412, 0.1111111111111111, 0.8518518518518519]","[0.9998941421508789, 0.999927282333374, 0.9998024106025696, 0.9999880790710449, 0.9997207522392273, 0.9999210834503174, 0.9999338388442993, 0.9999477863311768, 0.9999847412109375, 0.9999986886978149]",License Plate,51F04877,Vietnam,1.0,lp_train_1003
143,"[7, 120, 0, 34]","[0.05555555555555555, 0.9523809523809523, 0.0, 1.0]","[0.9999029636383057, 0.9998772144317627, 0.9997580647468567, 0.9998747110366821, 0.9999361038208008, 0.9999825954437256, 0.999884843826294, 0.9998791217803955, 0.9999550580978394, 0.9999887943267822]",License Plate,51F59011,Vietnam,1.0,lp_train_1004
144,"[2, 114, 1, 27]","[0.017094017094017096, 0.9743589743589743, 0.03225806451612903, 0.8709677419354839]","[0.9988625049591064, 0.9999140501022339, 0.9996525049209595, 0.9998946189880371, 0.9999370574951172, 0.9998148083686829, 0.9998086094856262, 0.9998650550842285, 0.9999967813491821, 0.9999986886978149]",License Plate,51G20536,Vietnam,1.0,lp_train_1005
145,"[3, 88, 6, 27]","[0.03333333333333333, 0.9777777777777777, 0.1875, 0.84375]","[0.9999213218688965, 0.9999523162841797, 0.9998289346694946, 0.9998856782913208, 0.9999606609344482, 0.9998332262039185, 0.9998495578765869, 0.9998480081558228, 0.9999983310699463, 0.9999996423721313]",License Plate,51G20536,Vietnam,0.9999998807907104,lp_train_1006
146,"[2, 76, 3, 25]","[0.025, 0.95, 0.1111111111111111, 0.9259259259259259]","[0.9998700618743896, 0.9999064207077026, 0.9993870258331299, 0.999948263168335, 0.9995244741439819, 0.9998661279678345, 0.9998863935470581, 0.9999212026596069, 0.9999998807907104, 0.9999998807907104]",License Plate,51F15380,Vietnam,0.9999998807907104,lp_train_1007
147,"[4, 114, 0, 33]","[0.03508771929824561, 1.0, 0.0, 0.9705882352941176]","[0.9999035596847534, 0.9999189376831055, 0.9997150301933289, 0.9999384880065918, 0.999911904335022, 0.9999253749847412, 0.9996542930603027, 0.9998739957809448, 0.9998776912689209, 0.9999711513519287]",License Plate,51F21255,Vietnam,0.9999995231628418,lp_train_1008
148,"[1, 85, 0, 22]","[0.011627906976744186, 0.9883720930232558, 0.0, 1.0]","[0.9998425245285034, 0.9999390840530396, 0.9996435642242432, 0.9999403953552246, 0.999933123588562, 0.9998754262924194, 0.9991030693054199, 0.9998606443405151, 0.999896764755249, 0.9999809265136719]",License Plate,51F21255,Vietnam,0.9999997615814209,lp_train_1009
149,NA,NA,NA,NA,NA,NA,NA,lp_train_101
150,"[2, 105, 3, 32]","[0.018691588785046728, 0.9813084112149533, 0.08571428571428572, 0.9142857142857143]","[0.9998829364776611, 0.9999525547027588, 0.9997292160987854, 0.9999548196792603, 0.9999152421951294, 0.9998317956924438, 0.999624490737915, 0.9999692440032959, 0.9999915361404419, 0.9999974966049194]",License Plate,51F69259,Vietnam,1.0,lp_train_1010
151,"[3, 91, 2, 26]","[0.03, 0.91, 0.06451612903225806, 0.8387096774193549]","[0.9998847246170044, 0.9998753070831299, 0.9997170567512512, 0.999911904335022, 0.9998939037322998, 0.9998624324798584, 0.9998799562454224, 0.9998832941055298, 0.9999971389770508, 0.999998927116394]",License Plate,51G31691,Vietnam,0.9999983310699463,lp_train_1011
152,"[0, 75, 5, 24]","[0.0, 0.974025974025974, 0.2, 0.96]","[0.99943608045578, 0.9999326467514038, 0.9996243715286255, 0.9999464750289917, 0.999901533126831, 0.9997709393501282, 0.9995923638343811, 0.9999632835388184, 0.9999876022338867, 0.9999969005584717]",License Plate,51F69259,Vietnam,1.0,lp_train_1012
153,"[2, 105, 2, 30]","[0.018691588785046728, 0.9813084112149533, 0.06451612903225806, 0.967741935483871]","[0.9997472167015076, 0.9998866319656372, 0.999521017074585, 0.999983549118042, 0.9997305274009705, 0.9997860789299011, 0.999656081199646, 0.9998019337654114, 0.9999922513961792, 0.999996542930603]",License Plate,51F13251,Vietnam,0.9999994039535522,lp_train_1013
154,"[2, 79, 5, 27]","[0.023529411764705882, 0.9294117647058824, 0.15625, 0.84375]","[0.9997292160987854, 0.999897837638855, 0.9995173215866089, 0.999981164932251, 0.9997695088386536, 0.9998555183410645, 0.999451220035553, 0.9998739957809448, 0.9999948740005493, 0.9999984502792358]",License Plate,51F13251,Vietnam,0.9999988079071045,lp_train_1014
155,"[2, 105, 1, 28]","[0.018518518518518517, 0.9722222222222222, 0.03571428571428571, 1.0]","[0.999752938747406, 0.9999222755432129, 0.9995905756950378, 0.9999654293060303, 0.9996428489685059, 0.9990309476852417, 0.9998631477355957, 0.9999212026596069, 0.9999980926513672, 0.9999995231628418]",License Plate,51F15585,Vietnam,0.9999998807907104,lp_train_1015
156,"[2, 75, 3, 22]","[0.02631578947368421, 0.9868421052631579, 0.13636363636363635, 1.0]","[0.998894989490509, 0.9998974800109863, 0.9992017149925232, 0.9999300241470337, 0.9994389414787292, 0.9984872341156006, 0.999794065952301, 0.9997562766075134, 0.9999977350234985, 0.9999994039535522]",License Plate,51F15585,Vietnam,0.9999852180480957,lp_train_1016
157,"[3, 104, 5, 33]","[0.028037383177570093, 0.9719626168224299, 0.14285714285714285, 0.9428571428571428]","[0.9999306201934814, 0.9998970031738281, 0.9999922513961792, 0.99994957447052, 0.9998094439506531, 0.999956488609314, 0.9998434782028198, 0.9999779462814331, 0.9999806880950928, 0.9999971389770508]",License Plate,29A23950,Vietnam,1.0,lp_train_1017
