,bbox,confidence,label,text,region,region_confidence,file_path
11,"[1, 48, 2, 16]","[0.9997227787971497, 0.998823344707489, 0.9995076656341553, 0.9998847246170044, 0.9994574189186096, 0.9858385920524597, 0.9974344372749329, 0.9995861649513245, 0.9999889135360718, 0.9999986886978149]",License Plate,51F15585,Vietnam,1.0,lp_train_3451
12,NA,NA,NA,NA,NA,NA,lp_train_6018
13,NA,NA,NA,NA,NA,NA,lp_train_4364
14,"[3, 117, 2, 41]","[0.9999710321426392, 0.9997809529304504, 0.9999927282333374, 0.9999933242797852, 0.9998750686645508, 0.9999533891677856, 0.9999430179595947, 0.9999679327011108, 0.9999803304672241, 0.9999966621398926]",License Plate,48A05177,Vietnam,1.0,lp_train_1919
15,"[0, 104, 6, 58]","[0.9996495246887207, 0.9984796643257141, 0.9996885061264038, 0.9997418522834778, 0.999424934387207, 0.9997928738594055, 0.9987983703613281, 0.9870501756668091, 0.9991299510002136, 0.9999934434890747]",License Plate,51G22807,Vietnam,0.9999991655349731,lp_train_2578
16,"[1, 95, 0, 24]","[0.9997556805610657, 0.9999414682388306, 0.9999958276748657, 0.9999626874923706, 0.9999027252197266, 0.9999046325683594, 0.9999386072158813, 0.999921441078186, 0.9999959468841553, 0.9999984502792358]",License Plate,51A69172,Vietnam,0.9999998807907104,lp_train_1820
17,NA,NA,NA,NA,NA,NA,lp_train_6035
18,"[0, 92, 2, 23]","[0.9996664524078369, 0.9999343156814575, 0.9997572302818298, 0.999953031539917, 0.9996570348739624, 0.9998152852058411, 0.9999788999557495, 0.9998295307159424, 0.9999994039535522, 0.9999997615814209]",License Plate,51F82606,Vietnam,0.9999995231628418,lp_train_1956
19,"[10, 86, 10, 77]","[0.9994513392448425, 0.9999393224716187, 0.9983752965927124, 0.9988694787025452, 0.9998533725738525, 0.9999499320983887, 0.9998130202293396, 0.9996402263641357, 0.9998711347579956, 0.9999816417694092]",License Plate,59M160886,Vietnam,0.9999961853027344,lp_train_5390
20,"[4, 491, 18, 273]","[0.8215066194534302, 0.8275231719017029, 0.9434418082237244, 0.6954553723335266, 0.8879002332687378, 0.5540332794189453, 0.9083876013755798, 0.9829279780387878, 0.9943704009056091, 0.998443067073822]",License Plate,505ZHZ,Belgium,0.5671117901802063,lp_train_220
21,"[3, 83, 0, 19]","[0.9999563694000244, 0.9999642372131348, 0.9998902082443237, 0.9999065399169922, 0.9999634027481079, 0.9999312162399292, 0.9999783039093018, 0.9997901320457458, 0.9999215602874756, 0.9996623992919922]",License Plate,50LD04411,Vietnam,0.9999992847442627,lp_train_420
22,"[4, 75, 0, 34]","[0.9995118379592896, 0.9990000128746033, 0.9999748468399048, 0.9999555349349976, 0.9674432873725891, 0.9998587369918823, 0.9959750771522522, 0.999761164188385, 0.9999614953994751, 0.9999605417251587]",License Plate,NBEYOND,Canada,0.7107882499694824,lp_train_3964
23,"[0, 996, 0, 315]","[0.9738076329231262, 0.7761753797531128, 0.9712193608283997, 0.9952206015586853, 0.8853838443756104, 0.9302703738212585, 0.4651830494403839, 0.9882733821868896, 0.9990943670272827, 0.9997469782829285]",License Plate,BA7130M,United States,0.5275595784187317,lp_train_332
24,NA,NA,NA,NA,NA,NA,lp_train_5898
25,"[107, 1039, 73, 657]","[0.9999141693115234, 0.9991980195045471, 0.9998261332511902, 0.9998281002044678, 0.9999032020568848, 0.9997151494026184, 0.9999556541442871, 0.9999914169311523, 0.9999969005584717, 0.9999982118606567]",License Plate,HDV415A,Mexico,0.9999995231628418,lp_train_4155
26,"[2, 122, 3, 51]","[0.999893307685852, 0.9998278617858887, 0.9998711347579956, 0.9998922348022461, 0.9997376799583435, 0.9998413324356079, 0.9998769760131836, 0.999944806098938, 0.9999955892562866, 0.9999983310699463]",License Plate,51G44313,Vietnam,0.9999998807907104,lp_train_1948
27,"[0, 95, 2, 50]","[0.9999672174453735, 0.9998286962509155, 0.9999899864196777, 0.9999914169311523, 0.9998980760574341, 0.9999563694000244, 0.9999630451202393, 0.9999517202377319, 0.9999797344207764, 0.9999974966049194]",License Plate,48A05177,Vietnam,1.0,lp_train_3184
28,"[0, 242, 0, 115]","[0.9999891519546509, 0.9985572695732117, 0.9999735355377197, 0.9999041557312012, 0.9999138116836548, 0.9984610080718994, 0.9999951124191284, 0.9999998807907104, 1.0, 1.0]",License Plate,DK966,United States,0.8284439444541931,lp_train_213
29,"[3, 84, 3, 25]","[0.9999486207962036, 0.9998518228530884, 0.9999961853027344, 0.9999215602874756, 0.9999325275421143, 0.9999345541000366, 0.9999252557754517, 0.9999231100082397, 0.9999990463256836, 0.9999997615814209]",License Plate,29A51796,Vietnam,1.0,lp_train_1801
30,NA,NA,NA,NA,NA,NA,lp_train_4368
31,"[0, 184, 0, 130]","[0.9999798536300659, 0.9997970461845398, 0.9999897480010986, 0.9999072551727295, 0.9999452829360962, 0.9999309778213501, 0.9999502897262573, 0.9997252821922302, 0.9999405145645142, 0.9996675252914429]",License Plate,67C103786,Vietnam,0.9999995231628418,lp_train_7053
32,"[0, 43, 1, 11]","[0.7122034430503845, 0.5413800477981567, 0.4092040956020355, 0.13972394168376923, 0.6255163550376892, 0.38461941480636597, 0.3255902826786041, 0.3815269470214844, 0.9504408240318298, 0.9972208738327026]",License Plate,11U12074,Turkey,0.5911343693733215,lp_train_3420
33,"[1, 94, 3, 30]","[0.999517560005188, 0.9999485015869141, 0.9996470212936401, 0.9998652935028076, 0.999924898147583, 0.9998825788497925, 0.9999268054962158, 0.9998631477355957, 0.9999991655349731, 0.9999998807907104]",License Plate,51F59881,Vietnam,1.0,lp_train_1359
34,"[0, 139, 1, 40]","[0.99951171875, 0.9999719858169556, 0.9999905824661255, 0.9999641180038452, 0.9999305009841919, 0.9999581575393677, 0.9999567270278931, 0.9999847412109375, 0.999988317489624, 0.9999970197677612]",License Plate,51A89714,Vietnam,1.0,lp_train_2047
35,"[2, 110, 5, 36]","[0.9998656511306763, 0.9999687671661377, 0.9997683167457581, 0.9999822378158569, 0.9998679161071777, 0.9999243021011353, 0.9999749660491943, 0.9999837875366211, 0.9999992847442627, 0.9999996423721313]",License Plate,51F06609,Vietnam,0.9999998807907104,lp_train_2752
36,"[1, 80, 1, 20]","[0.9993425011634827, 0.9999650716781616, 0.9999340772628784, 0.9998984336853027, 0.9996090531349182, 0.9998055100440979, 0.9999011754989624, 0.9998716115951538, 0.9999960660934448, 0.9999985694885254]",License Plate,51A85325,Vietnam,0.9999978542327881,lp_train_421
37,"[1, 119, 5, 55]","[0.9984747767448425, 0.9999723434448242, 0.9999933242797852, 0.9999512434005737, 0.9999105930328369, 0.9997842907905579, 0.9999409914016724, 0.9999891519546509, 0.999976396560669, 0.9999929666519165]",License Plate,51A72110,Vietnam,0.9999997615814209,lp_train_2390
38,"[0, 88, 0, 34]","[0.9873700141906738, 0.9911227226257324, 0.9892582297325134, 0.9982460737228394, 0.9911762475967407, 0.9955939650535583, 0.9616742134094238, 0.9979453682899475, 0.9995622038841248, 0.9992502331733704]",License Plate,A06642,Norway,0.9974856376647949,lp_train_2543
39,"[0, 96, 1, 40]","[0.9999709129333496, 0.9999831914901733, 0.9999973773956299, 0.9999332427978516, 0.9999309778213501, 0.999940037727356, 0.999886155128479, 0.9998772144317627, 0.9999953508377075, 0.999998927116394]",License Plate,61A22959,Vietnam,1.0,lp_train_2225
40,"[2, 116, 0, 28]","[0.9998291730880737, 0.9999332427978516, 0.9997863173484802, 0.9999381303787231, 0.9994394183158875, 0.9998670816421509, 0.9998527765274048, 0.9998898506164551, 0.9997881054878235, 0.9999673366546631]",License Plate,51G37675,Vietnam,0.9999997615814209,lp_train_1020
41,"[2, 81, 3, 26]","[0.9999094009399414, 0.9999840259552002, 0.9999953508377075, 0.9999468326568604, 0.9999266862869263, 0.9998714923858643, 0.9999291896820068, 0.9999600648880005, 0.9999947547912598, 0.9999988079071045]",License Plate,51A77529,Vietnam,0.9999997615814209,lp_train_2661
42,"[8, 85, 7, 69]","[0.9995700716972351, 0.9998760223388672, 0.999785840511322, 0.9999442100524902, 0.9997132420539856, 0.9998990297317505, 0.9998637437820435, 0.9997026324272156, 0.9998297691345215, 0.9999606609344482]",License Plate,59T100985,Vietnam,0.9999996423721313,lp_train_5732
43,NA,NA,NA,NA,NA,NA,lp_train_4811
44,NA,NA,NA,NA,NA,NA,lp_train_4288
45,"[4, 83, 5, 61]","[0.9998123049736023, 0.9819517731666565, 0.9997102618217468, 0.9997909665107727, 0.9998737573623657, 0.9998947381973267, 0.999887228012085, 0.9999231100082397, 0.9998937845230103, 0.9999878406524658]",License Plate,51R56273,Vietnam,0.9999324083328247,lp_train_6747
46,NA,NA,NA,NA,NA,NA,lp_train_4838
47,"[2, 111, 0, 25]","[0.9998757839202881, 0.9999556541442871, 0.9996587038040161, 0.999980092048645, 0.9997945427894592, 0.99989914894104, 0.9999310970306396, 0.999505877494812, 0.9999978542327881, 0.9999994039535522]",License Plate,51F98466,Vietnam,1.0,lp_train_1096
48,"[4, 275, 19, 178]","[0.9991925358772278, 0.9999046325683594, 0.9998605251312256, 0.9946714043617249, 0.9990085959434509, 0.9914426207542419, 0.9994639754295349, 0.8026356101036072, 0.9805774688720703, 0.9998706579208374]",License Plate,69F104177,Vietnam,0.9999994039535522,lp_train_6981
49,NA,NA,NA,NA,NA,NA,lp_train_4615
50,"[4, 58, 3, 37]","[0.9998183846473694, 0.9928399324417114, 0.999402642250061, 0.9997280240058899, 0.9999537467956543, 0.9998401403427124, 0.9998331069946289, 0.9997425675392151, 0.9998444318771362, 0.9999854564666748]",License Plate,51Z30606,Vietnam,0.9859281778335571,lp_train_6162
51,NA,NA,NA,NA,NA,NA,lp_train_3724
52,NA,NA,NA,NA,NA,NA,lp_train_4720
53,"[0, 40, 2, 12]","[0.2465689480304718, 0.8911544680595398, 0.7072927355766296, 0.8514437675476074, 0.236189067363739, 0.2661527395248413, 0.6605017781257629, 0.8990610241889954, 0.995558500289917, 0.9989739656448364]",License Plate,MIF588B,Mexico,0.6046910285949707,lp_train_3777
54,NA,NA,NA,NA,NA,NA,lp_train_4424
55,"[5, 70, 4, 35]","[0.6515990495681763, 0.7747616767883301, 0.9564545154571533, 0.9456196427345276, 0.9670699834823608, 0.9585446715354919, 0.869090735912323, 0.9979214072227478, 0.9998273253440857, 0.9999117851257324]",License Plate,DM7222,Malaysia,0.6727737784385681,lp_train_4642
56,NA,NA,NA,NA,NA,NA,lp_train_4642
57,"[0, 93, 0, 28]","[0.9998708963394165, 0.9999339580535889, 0.9995265007019043, 0.999915361404419, 0.9998923540115356, 0.9999067783355713, 0.9998286962509155, 0.9998917579650879, 0.9999972581863403, 0.9999994039535522]",License Plate,51F31118,Vietnam,0.9999997615814209,lp_train_1413
58,"[8, 160, 10, 96]","[0.9999656677246094, 0.9998679161071777, 0.9999734163284302, 0.9999436140060425, 0.9999784231185913, 0.9999343156814575, 0.9999970197677612, 0.9999974966049194, 0.9999988079071045, 0.9999994039535522]",License Plate,RF03ACY,United Kingdom,0.999976396560669,lp_train_4565
59,"[3, 112, 1, 31]","[0.9998917579650879, 0.9999231100082397, 0.9995417594909668, 0.9999148845672607, 0.9999575614929199, 0.9999332427978516, 0.999777615070343, 0.9999008178710938, 0.9999799728393555, 0.9999910593032837]",License Plate,51F20754,Vietnam,0.9999998807907104,lp_train_2003
60,NA,NA,NA,NA,NA,NA,lp_train_3757
61,"[2, 105, 3, 32]","[0.9998829364776611, 0.9999525547027588, 0.9997292160987854, 0.9999548196792603, 0.9999152421951294, 0.9998317956924438, 0.999624490737915, 0.9999692440032959, 0.9999915361404419, 0.9999974966049194]",License Plate,51F69259,Vietnam,1.0,lp_train_1010
62,"[4, 102, 3, 37]","[0.9998754262924194, 0.999934196472168, 0.9994839429855347, 0.9999579191207886, 0.9995856881141663, 0.9987578392028809, 0.9998680353164673, 0.9999096393585205, 0.9999990463256836, 0.9999997615814209]",License Plate,51F15585,Vietnam,0.9999998807907104,lp_train_1941
63,NA,NA,NA,NA,NA,NA,lp_train_185
64,"[3, 106, 3, 28]","[0.9999427795410156, 0.9999806880950928, 0.9998505115509033, 0.9999254941940308, 0.9999563694000244, 0.9999308586120605, 0.9999755620956421, 0.9996217489242554, 0.9999033212661743, 0.9996249675750732]",License Plate,50LD04411,Vietnam,0.9999997615814209,lp_train_410
65,"[3, 38, 2, 11]","[0.8103851079940796, 0.829815149307251, 0.7534717321395874, 0.6079967617988586, 0.6598595380783081, 0.7935028076171875, 0.7948647737503052, 0.9983843564987183, 0.999984622001648, 0.9999901056289673]",License Plate,IA33529,Switzerland,0.6464126110076904,lp_train_3226
66,NA,NA,NA,NA,NA,NA,lp_train_6256
67,"[2, 101, 0, 25]","[0.9996728897094727, 0.9999301433563232, 0.999464213848114, 0.9999220371246338, 0.9993569254875183, 0.9998012185096741, 0.9999756813049316, 0.999879002571106, 0.9999961853027344, 0.9999991655349731]",License Plate,51F24403,Vietnam,1.0,lp_train_989
68,NA,NA,NA,NA,NA,NA,lp_train_5724
69,"[2, 94, 3, 30]","[0.9999401569366455, 0.9999434947967529, 0.999519944190979, 0.999964714050293, 0.9997827410697937, 0.9991416931152344, 0.9999167919158936, 0.9999176263809204, 0.9999969005584717, 0.9999992847442627]",License Plate,51F15585,Vietnam,0.9999997615814209,lp_train_1063
70,"[1, 112, 0, 43]","[0.9997867941856384, 0.999945878982544, 0.9997586607933044, 0.9999477863311768, 0.9998310804367065, 0.9998651742935181, 0.999925971031189, 0.9999332427978516, 0.9999983310699463, 0.9999998807907104]",License Plate,51F68784,Vietnam,1.0,lp_train_1899
71,"[1, 83, 0, 22]","[0.9999194145202637, 0.9999513626098633, 0.9999878406524658, 0.9998451471328735, 0.9998477697372437, 0.9998506307601929, 0.9998522996902466, 0.9997765421867371, 0.9999986886978149, 0.9999996423721313]",License Plate,60A35981,Vietnam,1.0,lp_train_1683
72,NA,NA,NA,NA,NA,NA,lp_train_5036
73,NA,NA,NA,NA,NA,NA,lp_train_4755
74,"[3, 97, 3, 31]","[0.9999312162399292, 0.9999462366104126, 0.9998052716255188, 0.9999562501907349, 0.9999077320098877, 0.9999004602432251, 0.9999552965164185, 0.9996500015258789, 0.9999980926513672, 0.9999992847442627]",License Plate,51G39466,Vietnam,1.0,lp_train_1544
75,"[6, 110, 1, 26]","[0.9995321035385132, 0.999956488609314, 0.999996542930603, 0.9999053478240967, 0.999896764755249, 0.9999544620513916, 0.9999524354934692, 0.9999901056289673, 0.9999809265136719, 0.9999971389770508]",License Plate,51A72110,Vietnam,0.9999992847442627,lp_train_946
76,"[1, 107, 3, 50]","[0.9998509883880615, 0.99982088804245, 0.9996663331985474, 0.999882698059082, 0.9999182224273682, 0.9998805522918701, 0.999902606010437, 0.9998646974563599, 0.9999984502792358, 0.9999996423721313]",License Plate,51F59881,Vietnam,0.9999998807907104,lp_train_3038
77,"[0, 39, 1, 11]","[0.8660935759544373, 0.3359421193599701, 0.17088784277439117, 0.23621955513954163, 0.23290592432022095, 0.2712234854698181, 0.8089852929115295, 0.43633097410202026, 0.9962731599807739, 0.9993637204170227]",License Plate,11HHMH6,Turkey,0.830736517906189,lp_train_3422
78,NA,NA,NA,NA,NA,NA,lp_train_6177
79,"[2, 108, 2, 41]","[0.9999061822891235, 0.9999357461929321, 0.999748170375824, 0.9999459981918335, 0.9999070167541504, 0.9998432397842407, 0.9998311996459961, 0.9999583959579468, 0.9999964237213135, 0.9999988079071045]",License Plate,51F61712,Vietnam,0.9999998807907104,lp_train_2521
80,"[80, 1091, 17, 533]","[0.9998347759246826, 0.9998596906661987, 0.999962568283081, 0.9998998641967773, 0.9998213648796082, 0.9998691082000732, 0.9999675750732422, 0.9999939203262329, 0.9999985694885254, 0.9999992847442627]",License Plate,HFL311A,Mexico,1.0,lp_train_4146
81,NA,NA,NA,NA,NA,NA,lp_train_3630
82,"[0, 581, 0, 136]","[0.9999797344207764, 0.99982750415802, 0.9999847412109375, 0.9998947381973267, 0.9997373223304749, 0.9995261430740356, 0.9997946619987488, 0.999847412109375, 0.9999847412109375, 0.9999971389770508]",License Plate,06CD1194,Turkey,0.9999030828475952,lp_train_4723
83,"[2, 87, 0, 22]","[0.9998431205749512, 0.9999396800994873, 0.999993085861206, 0.9999022483825684, 0.999788224697113, 0.9998642206192017, 0.9999299049377441, 0.9999459981918335, 0.9999997615814209, 1.0]",License Plate,60A35981,Vietnam,1.0,lp_train_1092
84,"[1, 75, 0, 17]","[0.999427080154419, 0.9999364614486694, 0.9996376037597656, 0.9998462200164795, 0.9992632269859314, 0.9989080429077148, 0.9997740387916565, 0.9996501207351685, 0.9999865293502808, 0.9999967813491821]",License Plate,51G49539,Vietnam,0.9999998807907104,lp_train_437
85,NA,NA,NA,NA,NA,NA,lp_train_6166
86,"[1, 48, 1, 12]","[0.6180012226104736, 0.9130704402923584, 0.7514399886131287, 0.5659869909286499, 0.3957865834236145, 0.46068015694618225, 0.3890015184879303, 0.9132524132728577, 0.9998496770858765, 0.9999233484268188]",License Plate,IC59177,Norway,0.384103000164032,lp_train_3580
87,NA,NA,NA,NA,NA,NA,lp_train_5158
88,"[1, 43, 3, 11]","[0.5477291941642761, 0.5017638206481934, 0.9961658716201782, 0.8789394497871399, 0.9573521018028259, 0.832007646560669, 0.7185227870941162, 0.978906512260437, 0.9998193383216858, 0.9999654293060303]",License Plate,11MM624,Turkey,0.26917099952697754,lp_train_3348
89,"[10, 90, 9, 76]","[0.9998643398284912, 0.9998598098754883, 0.9997316002845764, 0.9161834716796875, 0.9998064637184143, 0.9997890591621399, 0.9985686540603638, 0.9998705387115479, 0.9995347261428833, 0.9999301433563232]",License Plate,54L59913,Vietnam,0.9993211030960083,lp_train_5402
90,NA,NA,NA,NA,NA,NA,lp_train_5551
91,NA,NA,NA,NA,NA,NA,lp_train_5428
92,NA,NA,NA,NA,NA,NA,lp_train_3804
93,"[2, 96, 3, 29]","[0.998143196105957, 0.9999115467071533, 0.9995380640029907, 0.9998425245285034, 0.9996402263641357, 0.9999542236328125, 0.9998093247413635, 0.9999291896820068, 0.9999949932098389, 0.9999980926513672]",License Plate,51F22029,Vietnam,0.9999997615814209,lp_train_2088
94,"[1, 45, 0, 13]","[0.9899086952209473, 0.9921135902404785, 0.7830484509468079, 0.9914731979370117, 0.8574966192245483, 0.9893022179603577, 0.48127833008766174, 0.9441524744033813, 0.9999755620956421, 0.9999947547912598]",License Plate,51G39466,Vietnam,0.9999854564666748,lp_train_3492
95,"[0, 110, 8, 49]","[0.1950257569551468, 0.9997294545173645, 0.9999806880950928, 0.9999135732650757, 0.9999313354492188, 0.9999200105667114, 0.9998924732208252, 0.9997604489326477, 0.9999922513961792, 0.9999973773956299]",License Plate,29A51796,Vietnam,1.0,lp_train_3230
96,NA,NA,NA,NA,NA,NA,lp_train_6026
97,"[53, 1477, 50, 1004]","[0.9996919631958008, 0.999035120010376, 0.9993776679039001, 0.999692440032959, 0.9994893074035645, 0.9996740818023682, 0.9988892674446106, 0.9999622106552124, 0.9999902248382568, 0.9999918937683105]",License Plate,HFR032D,Mexico,0.9999768733978271,lp_train_4108
98,"[21, 543, 26, 294]","[0.9992746710777283, 0.7130227088928223, 0.9997939467430115, 0.9998904466629028, 0.9996517896652222, 0.9997414946556091, 0.9990013241767883, 0.9999748468399048, 0.9999911785125732, 0.9999943971633911]",License Plate,GOGR3N,United States,0.9996212720870972,lp_train_4777
99,"[4, 88, 11, 75]","[0.9968177080154419, 0.999777615070343, 0.9997996687889099, 0.9935285449028015, 0.9995730519294739, 0.9995546936988831, 0.999476969242096, 0.9998838901519775, 0.9999078512191772, 0.9999922513961792]",License Plate,59N147102,Vietnam,0.9999995231628418,lp_train_6534
100,NA,NA,NA,NA,NA,NA,lp_train_5163
101,NA,NA,NA,NA,NA,NA,lp_train_6730
102,"[0, 42, 1, 11]","[0.984147310256958, 0.9996464252471924, 0.9999246597290039, 0.41634994745254517, 0.8222423791885376, 0.9992635846138, 0.998420238494873, 0.9964587092399597, 0.999923586845398, 0.9999840259552002]",License Plate,51A16227,Vietnam,0.9994373917579651,lp_train_3409
103,NA,NA,NA,NA,NA,NA,lp_train_3980
104,NA,NA,NA,NA,NA,NA,lp_train_3980
105,NA,NA,NA,NA,NA,NA,lp_train_4451
106,NA,NA,NA,NA,NA,NA,lp_train_4451
107,"[0, 87, 3, 30]","[0.999743640422821, 0.9996906518936157, 0.9999685287475586, 0.9999523162841797, 0.9995243549346924, 0.999591052532196, 0.9998859167098999, 0.9999765157699585, 0.9999959468841553, 0.9999969005584717]",License Plate,52Y6490,Vietnam,0.9997095465660095,lp_train_1240
108,NA,NA,NA,NA,NA,NA,lp_train_5599
109,"[6, 96, 8, 45]","[0.9997076392173767, 0.9979933500289917, 0.9995425939559937, 0.9998490810394287, 0.9985781908035278, 0.9997406601905823, 0.9990881681442261, 0.9999005794525146, 0.9999971389770508, 0.999998927116394]",License Plate,51F44614,Vietnam,0.9999991655349731,lp_train_3138
110,"[0, 77, 3, 23]","[0.9988075494766235, 0.9998546838760376, 0.9995400905609131, 0.9998936653137207, 0.9996005892753601, 0.9998001456260681, 0.9998475313186646, 0.999809205532074, 0.9999983310699463, 0.9999992847442627]",License Plate,51F22261,Vietnam,0.9999996423721313,lp_train_414
111,"[0, 90, 4, 75]","[0.9998138546943665, 0.9999397993087769, 0.9999265670776367, 0.9998458623886108, 0.999853253364563, 0.9999454021453857, 0.9998408555984497, 0.9998098015785217, 0.9998750686645508, 0.9999862909317017]",License Plate,67N120886,Vietnam,0.9999951124191284,lp_train_6863
112,"[4, 49, 2, 11]","[0.606868326663971, 0.2682636082172394, 0.9560204148292542, 0.6530107855796814, 0.9537362456321716, 0.6802371144294739, 0.5058025121688843, 0.7872368097305298, 0.9998717308044434, 0.9999661445617676]",License Plate,IW39307,Georgia,0.5577448606491089,lp_train_2572
113,NA,NA,NA,NA,NA,NA,lp_train_3978
114,NA,NA,NA,NA,NA,NA,lp_train_7030
115,"[1, 59, 0, 14]","[0.9945726990699768, 0.9997637867927551, 0.9994534850120544, 0.9998263716697693, 0.9991242289543152, 0.9996418952941895, 0.9989804625511169, 0.9801903367042542, 0.9999994039535522, 0.9999997615814209]",License Plate,51G37307,Vietnam,0.9999817609786987,lp_train_3523
116,"[1, 114, 3, 33]","[0.9997667670249939, 0.9998993873596191, 0.9996067881584167, 0.999991774559021, 0.9997889399528503, 0.9999580383300781, 0.9999526739120483, 0.9999420642852783, 0.9999942779541016, 0.9999983310699463]",License Plate,51F07973,Vietnam,1.0,lp_train_1166
117,"[2, 103, 1, 31]","[0.9998675584793091, 0.9998629093170166, 0.9997537732124329, 0.9998714923858643, 0.999914288520813, 0.9998784065246582, 0.9999078512191772, 0.9999129772186279, 0.9999988079071045, 0.9999997615814209]",License Plate,51F59881,Vietnam,1.0,lp_train_1289
118,"[0, 36, 3, 11]","[0.7369315028190613, 0.9127194285392761, 0.9444411993026733, 0.9202625155448914, 0.7667858600616455, 0.3126223087310791, 0.7921884655952454, 0.9982861876487732, 0.9998059868812561, 0.9998753070831299]",License Plate,TU9995,Moldova,0.7565685510635376,lp_train_3309
119,"[0, 46, 2, 13]","[0.17893224954605103, 0.4855416417121887, 0.29366570711135864, 0.7058215737342834, 0.3588760495185852, 0.14336898922920227, 0.17794890701770782, 0.60456782579422, 0.5805096626281738, 0.6790205836296082]",License Plate,501D1E558,Vietnam,0.8074347972869873,lp_train_2703
120,"[0, 79, 2, 25]","[0.9997066855430603, 0.9999446868896484, 0.9998636245727539, 0.9999724626541138, 0.9999442100524902, 0.9999667406082153, 0.9998181462287903, 0.999489426612854, 0.9999964237213135, 0.9999985694885254]",License Plate,51G10096,Vietnam,0.9999994039535522,lp_train_474
121,NA,NA,NA,NA,NA,NA,lp_train_4259
122,NA,NA,NA,NA,NA,NA,lp_train_6093
123,NA,NA,NA,NA,NA,NA,lp_train_6641
124,NA,NA,NA,NA,NA,NA,lp_train_6741
125,"[2, 100, 0, 26]","[0.9999068975448608, 0.9999761581420898, 0.9999957084655762, 0.999962568283081, 0.999909520149231, 0.9999721050262451, 0.9999879598617554, 0.999948263168335, 0.9999970197677612, 0.9999988079071045]",License Plate,51A96141,Vietnam,0.9999995231628418,lp_train_618
126,"[12, 113, 12, 59]","[0.9998264908790588, 0.9998527765274048, 0.9997121691703796, 0.9999443292617798, 0.9999315738677979, 0.9998486042022705, 0.9999161958694458, 0.9995983242988586, 0.9999877214431763, 0.9999986886978149]",License Plate,51G39466,Vietnam,0.9999995231628418,lp_train_3013
127,"[0, 97, 1, 30]","[0.9999097585678101, 0.99986732006073, 0.9998971223831177, 0.9996436834335327, 0.99970942735672, 0.9998325109481812, 0.9993762373924255, 0.9999862909317017, 0.9999978542327881, 0.9999986886978149]",License Plate,30V3993,Vietnam,0.9999361038208008,lp_train_1511
128,NA,NA,NA,NA,NA,NA,lp_train_5043
129,NA,NA,NA,NA,NA,NA,lp_train_5043
130,"[1, 80, 6, 22]","[0.9998917579650879, 0.9999303817749023, 0.9999085664749146, 0.99982088804245, 0.9999082088470459, 0.9998327493667603, 0.9997979998588562, 0.9989041090011597, 0.9999983310699463, 0.9999996423721313]",License Plate,60A20880,Vietnam,1.0,lp_train_1302
131,"[0, 89, 0, 72]","[0.9997591376304626, 0.9996843338012695, 0.9999308586120605, 0.9999433755874634, 0.999940037727356, 0.9998990297317505, 0.9999254941940308, 0.9999279975891113, 0.9996676445007324, 0.9999632835388184]",License Plate,65H90714,Vietnam,0.9999990463256836,lp_train_6438
